BCS_Solar,BCS_Eolica,BCA_Solar,BCA_Eolica,SIN_Solar,SIN_Eolica
{'electricity': 0.265},{'electricity': 0.249},{'electricity': 0.279},{'electricity': 0.024},{'electricity': 0.265},{'electricity': 0.854}
{'electricity': 0.019},{'electricity': 0.307},{'electricity': 0.043},{'electricity': 0.031},{'electricity': 0.014},{'electricity': 0.814}
{'electricity': 0.0},{'electricity': 0.291},{'electricity': 0.0},{'electricity': 0.054},{'electricity': 0.0},{'electricity': 0.765}
{'electricity': 0.0},{'electricity': 0.219},{'electricity': 0.0},{'electricity': 0.045},{'electricity': 0.0},{'electricity': 0.7}
{'electricity': 0.0},{'electricity': 0.167},{'electricity': 0.0},{'electricity': 0.066},{'electricity': 0.0},{'electricity': 0.605}
{'electricity': 0.0},{'electricity': 0.185},{'electricity': 0.0},{'electricity': 0.121},{'electricity': 0.0},{'electricity': 0.487}
{'electricity': 0.0},{'electricity': 0.192},{'electricity': 0.0},{'electricity': 0.154},{'electricity': 0.0},{'electricity': 0.435}
{'electricity': 0.0},{'electricity': 0.201},{'electricity': 0.0},{'electricity': 0.156},{'electricity': 0.0},{'electricity': 0.402}
{'electricity': 0.0},{'electricity': 0.227},{'electricity': 0.0},{'electricity': 0.145},{'electricity': 0.0},{'electricity': 0.339}
{'electricity': 0.0},{'electricity': 0.219},{'electricity': 0.0},{'electricity': 0.126},{'electricity': 0.0},{'electricity': 0.273}
{'electricity': 0.0},{'electricity': 0.231},{'electricity': 0.0},{'electricity': 0.124},{'electricity': 0.0},{'electricity': 0.188}
{'electricity': 0.0},{'electricity': 0.27},{'electricity': 0.0},{'electricity': 0.167},{'electricity': 0.0},{'electricity': 0.104}
{'electricity': 0.0},{'electricity': 0.374},{'electricity': 0.0},{'electricity': 0.221},{'electricity': 0.0},{'electricity': 0.043}
{'electricity': 0.0},{'electricity': 0.518},{'electricity': 0.0},{'electricity': 0.264},{'electricity': 0.0},{'electricity': 0.006}
{'electricity': 0.0},{'electricity': 0.579},{'electricity': 0.0},{'electricity': 0.294},{'electricity': 0.0},{'electricity': 0.0}
{'electricity': 0.033},{'electricity': 0.527},{'electricity': 0.0},{'electricity': 0.332},{'electricity': 0.078},{'electricity': 0.0}
{'electricity': 0.188},{'electricity': 0.299},{'electricity': 0.253},{'electricity': 0.358},{'electricity': 0.381},{'electricity': 0.0}
{'electricity': 0.413},{'electricity': 0.256},{'electricity': 0.498},{'electricity': 0.195},{'electricity': 0.588},{'electricity': 0.004}
{'electricity': 0.603},{'electricity': 0.188},{'electricity': 0.658},{'electricity': 0.067},{'electricity': 0.715},{'electricity': 0.018}
{'electricity': 0.627},{'electricity': 0.162},{'electricity': 0.748},{'electricity': 0.0},{'electricity': 0.783},{'electricity': 0.059}
{'electricity': 0.475},{'electricity': 0.132},{'electricity': 0.779},{'electricity': 0.005},{'electricity': 0.798},{'electricity': 0.133}
{'electricity': 0.53},{'electricity': 0.089},{'electricity': 0.755},{'electricity': 0.103},{'electricity': 0.762},{'electricity': 0.225}
{'electricity': 0.481},{'electricity': 0.073},{'electricity': 0.673},{'electricity': 0.229},{'electricity': 0.67},{'electricity': 0.302}
{'electricity': 0.396},{'electricity': 0.066},{'electricity': 0.53},{'electricity': 0.352},{'electricity': 0.5},{'electricity': 0.349}
{'electricity': 0.234},{'electricity': 0.07},{'electricity': 0.314},{'electricity': 0.395},{'electricity': 0.248},{'electricity': 0.358}
{'electricity': 0.035},{'electricity': 0.115},{'electricity': 0.048},{'electricity': 0.311},{'electricity': 0.008},{'electricity': 0.328}
{'electricity': 0.0},{'electricity': 0.204},{'electricity': 0.0},{'electricity': 0.208},{'electricity': 0.0},{'electricity': 0.245}
{'electricity': 0.0},{'electricity': 0.328},{'electricity': 0.0},{'electricity': 0.179},{'electricity': 0.0},{'electricity': 0.144}
{'electricity': 0.0},{'electricity': 0.4},{'electricity': 0.0},{'electricity': 0.169},{'electricity': 0.0},{'electricity': 0.069}
{'electricity': 0.0},{'electricity': 0.385},{'electricity': 0.0},{'electricity': 0.212},{'electricity': 0.0},{'electricity': 0.018}
{'electricity': 0.0},{'electricity': 0.325},{'electricity': 0.0},{'electricity': 0.316},{'electricity': 0.0},{'electricity': 0.0}
{'electricity': 0.0},{'electricity': 0.268},{'electricity': 0.0},{'electricity': 0.417},{'electricity': 0.0},{'electricity': 0.0}
{'electricity': 0.0},{'electricity': 0.223},{'electricity': 0.0},{'electricity': 0.471},{'electricity': 0.0},{'electricity': 0.027}
{'electricity': 0.0},{'electricity': 0.164},{'electricity': 0.0},{'electricity': 0.525},{'electricity': 0.0},{'electricity': 0.127}
{'electricity': 0.0},{'electricity': 0.113},{'electricity': 0.0},{'electricity': 0.654},{'electricity': 0.0},{'electricity': 0.205}
{'electricity': 0.0},{'electricity': 0.089},{'electricity': 0.0},{'electricity': 0.77},{'electricity': 0.0},{'electricity': 0.279}
{'electricity': 0.0},{'electricity': 0.074},{'electricity': 0.0},{'electricity': 0.875},{'electricity': 0.0},{'electricity': 0.305}
{'electricity': 0.0},{'electricity': 0.058},{'electricity': 0.0},{'electricity': 0.923},{'electricity': 0.0},{'electricity': 0.333}
{'electricity': 0.0},{'electricity': 0.059},{'electricity': 0.0},{'electricity': 0.957},{'electricity': 0.0},{'electricity': 0.285}
